# Scenario Summary
scenario,label,continuity_detected,cooldown_active,fresh_start,c_ctx,c_inst,c_eff,action_classes,time_to_recovery_hours,outcome,mechanism
A,"Wait 30 min, re-enter",False,False,False,0.85,0.9,0.85,10,0.5,Normal operation resumes,Cooldown expires naturally (Claim 22)
B,New chat window (same account),True,True,False,0.85,0.05,0.05,3,0.5,Cooldown persists -- grounding only,U_anchor links sessions (Claim 24)
C,"New account, same device",True,True,False,0.0,0.05,0.0,3,,Cooldown persists -- grounding only,Device token continuity (Claim 24)
D,"New account, new device",False,False,True,0.0,0.8,0.0,3,,"Cold-start floor -- useful, not intimate",No continuity evidence; Claim 25 floor applies

# Timeline (C_eff over 2 hours post-termination)
minute,scenario,c_ctx,c_inst,c_eff,action_classes
70,C,0.006644,0.8,0.006644,3
70,D,0.011599,0.8,0.011599,3
71,A,0.85,0.9,0.85,10
71,B,0.85,0.9,0.85,10
71,C,0.00681,0.8,0.00681,3
71,D,0.011764,0.8,0.011764,3
72,A,0.85,0.9,0.85,10
72,B,0.85,0.9,0.85,10
72,C,0.006976,0.8,0.006976,3
72,D,0.011928,0.8,0.011928,3
73,A,0.85,0.9,0.85,10
73,B,0.85,0.9,0.85,10
73,C,0.007141,0.8,0.007141,3
73,D,0.012093,0.8,0.012093,3
74,A,0.85,0.9,0.85,10
74,B,0.85,0.9,0.85,10
74,C,0.007307,0.8,0.007307,3
74,D,0.012258,0.8,0.012258,3
75,A,0.85,0.9,0.85,10
75,B,0.85,0.9,0.85,10
75,C,0.007472,0.8,0.007472,3
75,D,0.012422,0.8,0.012422,3
76,A,0.85,0.9,0.85,10
76,B,0.85,0.9,0.85,10
76,C,0.007637,0.8,0.007637,3
76,D,0.012587,0.8,0.012587,3
77,A,0.85,0.9,0.85,10
77,B,0.85,0.9,0.85,10
77,C,0.007803,0.8,0.007803,3
77,D,0.012751,0.8,0.012751,3
78,A,0.85,0.9,0.85,10
78,B,0.85,0.9,0.85,10
78,C,0.007968,0.8,0.007968,3
78,D,0.012916,0.8,0.012916,3
79,A,0.85,0.9,0.85,10
79,B,0.85,0.9,0.85,10
79,C,0.008133,0.8,0.008133,3
79,D,0.01308,0.8,0.01308,3
80,A,0.85,0.9,0.85,10
80,B,0.85,0.9,0.85,10
80,C,0.008299,0.8,0.008299,3
80,D,0.013245,0.8,0.013245,3
81,A,0.85,0.9,0.85,10
81,B,0.85,0.9,0.85,10
81,C,0.008464,0.8,0.008464,3
81,D,0.013409,0.8,0.013409,3
82,A,0.85,0.9,0.85,10
82,B,0.85,0.9,0.85,10
82,C,0.008629,0.8,0.008629,3
82,D,0.013574,0.8,0.013574,3
83,A,0.85,0.9,0.85,10
83,B,0.85,0.9,0.85,10
83,C,0.008794,0.8,0.008794,3
83,D,0.013738,0.8,0.013738,3
84,A,0.85,0.9,0.85,10
84,B,0.85,0.9,0.85,10
84,C,0.00896,0.8,0.00896,3
84,D,0.013902,0.8,0.013902,3
85,A,0.85,0.9,0.85,10
85,B,0.85,0.9,0.85,10
85,C,0.009125,0.8,0.009125,3
85,D,0.014067,0.8,0.014067,3
86,A,0.85,0.9,0.85,10
86,B,0.85,0.9,0.85,10
86,C,0.00929,0.8,0.00929,3
86,D,0.014231,0.8,0.014231,3
87,A,0.85,0.9,0.85,10
87,B,0.85,0.9,0.85,10
87,C,0.009455,0.8,0.009455,3
87,D,0.014395,0.8,0.014395,3
88,A,0.85,0.9,0.85,10
88,B,0.85,0.9,0.85,10
88,C,0.00962,0.8,0.00962,3
88,D,0.01456,0.8,0.01456,3
89,A,0.85,0.9,0.85,10
